window_end,window_start,dataset_version,description,fetch_timestamp,forks,full_name,html_url,inclusion_decision,is_archived,is_fork,is_template,org,primary_language,pushed_at,repo_id,stars,strategic_relevance_score,strategic_signals,timezone
,,2026-05-23.solana-activity.v2,"The fuzzer afl++ is afl with community patches, qemu 5.1 upgrade, collision-free coverage, enhanced laf-intel & redqueen, AFLfast++ power schedules, MOpt mutators, unicorn_mode, and a lot more!",2026-05-23T16:21:37.446336Z,0,firedancer-io/AFLplusplus,https://github.com/firedancer-io/AFLplusplus,context/watchlist only; not included in approved-gate Top repo score,False,True,False,firedancer-io,C,2026-02-19T23:56:53Z,1060310272,1,2,firedancer-client;payments/token,UTC
,,2026-05-23.solana-activity.v2,"Web-Scale Blockchain for fast, secure, scalable, decentralized apps and marketplaces.",2026-05-23T16:21:37.446336Z,16,firedancer-io/agave,https://github.com/firedancer-io/agave,context/watchlist only; not included in approved-gate Top repo score,False,True,False,firedancer-io,Rust,2026-05-23T01:20:33Z,826494145,6,2,core-client/runtime;firedancer-client,UTC
,,2026-05-23.solana-activity.v2,An Alpine build environment for Firedancer,2026-05-23T16:21:37.446336Z,0,firedancer-io/alpine-builder,https://github.com/firedancer-io/alpine-builder,context/watchlist only; not included in approved-gate Top repo score,True,False,False,firedancer-io,Shell,2024-01-05T15:31:14Z,669197061,0,1,firedancer-client,UTC
,,2026-05-23.solana-activity.v2,,2026-05-23T16:21:37.446336Z,0,firedancer-io/audits,https://github.com/firedancer-io/audits,context/watchlist only; not included in approved-gate Top repo score,False,False,False,firedancer-io,,2025-05-07T13:59:18Z,820642713,5,1,firedancer-client,UTC
,,2026-05-23.solana-activity.v2,Binary Ninja plugin for Solana eBPF,2026-05-23T16:21:37.446336Z,0,firedancer-io/bn-ebpf-solana,https://github.com/firedancer-io/bn-ebpf-solana,context/watchlist only; not included in approved-gate Top repo score,False,True,False,firedancer-io,,2025-10-27T18:34:18Z,1084483039,0,2,core-client/runtime;firedancer-client,UTC
,,2026-05-23.solana-activity.v2,C++ client library for ClickHouse,2026-05-23T16:21:37.446336Z,0,firedancer-io/clickhouse-cpp,https://github.com/firedancer-io/clickhouse-cpp,context/watchlist only; not included in approved-gate Top repo score,False,True,False,firedancer-io,,2025-11-04T22:04:02Z,1089000499,0,1,firedancer-client,UTC
,,2026-05-23.solana-activity.v2,,2026-05-23T16:21:37.446336Z,0,firedancer-io/clusterfuzz-action,https://github.com/firedancer-io/clusterfuzz-action,context/watchlist only; not included in approved-gate Top repo score,True,False,False,firedancer-io,TypeScript,2023-11-28T18:41:39Z,663147119,0,1,firedancer-client,UTC
,,2026-05-23.solana-activity.v2,Rust language bindings for Faiss,2026-05-23T16:21:37.446336Z,0,firedancer-io/faiss-rs,https://github.com/firedancer-io/faiss-rs,context/watchlist only; not included in approved-gate Top repo score,False,True,False,firedancer-io,,2026-05-19T00:29:29Z,1239235249,0,1,firedancer-client,UTC
,,2026-05-23.solana-activity.v2,,2026-05-23T16:21:37.446336Z,4,firedancer-io/fd-yellowstone,https://github.com/firedancer-io/fd-yellowstone,context/watchlist only; not included in approved-gate Top repo score,False,False,False,firedancer-io,C++,2025-09-19T16:21:51Z,1003686451,18,1,firedancer-client,UTC
,,2026-05-23.solana-activity.v2,Firedancer is Jump Crypto's Solana validator software.,2026-05-23T16:21:37.446336Z,482,firedancer-io/firedancer,https://github.com/firedancer-io/firedancer,context/watchlist only; not included in approved-gate Top repo score,False,False,False,firedancer-io,C,2026-05-23T11:24:43Z,525383681,1475,3,core-client/runtime;firedancer-client;validator/rpc,UTC
,,2026-05-23.solana-activity.v2,,2026-05-23T16:21:37.446336Z,10,firedancer-io/firedancer-frontend,https://github.com/firedancer-io/firedancer-frontend,context/watchlist only; not included in approved-gate Top repo score,False,False,False,firedancer-io,TypeScript,2026-05-22T18:52:24Z,846270771,16,1,firedancer-client,UTC
,,2026-05-23.solana-activity.v2,Daily Fuzzing Coverage for Firedancer,2026-05-23T16:21:37.446336Z,0,firedancer-io/firedancer-fuzz-coverage,https://github.com/firedancer-io/firedancer-fuzz-coverage,context/watchlist only; not included in approved-gate Top repo score,True,False,False,firedancer-io,,2023-08-24T17:43:47Z,682264660,0,1,firedancer-client,UTC
,,2026-05-23.solana-activity.v2,Firedancer load testing tool,2026-05-23T16:21:37.446336Z,0,firedancer-io/firedancer-pktgen,https://github.com/firedancer-io/firedancer-pktgen,context/watchlist only; not included in approved-gate Top repo score,False,False,False,firedancer-io,C,2024-07-10T17:59:48Z,809833268,0,1,firedancer-client,UTC
,,2026-05-23.solana-activity.v2,Binary blobs and test inputs used in Firedancer unit tests,2026-05-23T16:21:37.446336Z,0,firedancer-io/firedancer-testbins,https://github.com/firedancer-io/firedancer-testbins,context/watchlist only; not included in approved-gate Top repo score,False,False,False,firedancer-io,C,2024-05-17T16:10:33Z,601333252,0,1,firedancer-client,UTC
,,2026-05-23.solana-activity.v2,FlatBuffers: Memory Efficient Serialization Library,2026-05-23T16:21:37.446336Z,1,firedancer-io/flatbuffers,https://github.com/firedancer-io/flatbuffers,context/watchlist only; not included in approved-gate Top repo score,False,True,False,firedancer-io,C++,2026-04-06T22:20:22Z,1089977884,0,1,firedancer-client,UTC
,,2026-05-23.solana-activity.v2,FlatBuffers Compiler and Library in C for C,2026-05-23T16:21:37.446336Z,0,firedancer-io/flatcc,https://github.com/firedancer-io/flatcc,context/watchlist only; not included in approved-gate Top repo score,False,True,False,firedancer-io,,2025-11-10T17:09:14Z,1094526253,0,1,firedancer-client,UTC
,,2026-05-23.solana-activity.v2,Build environment that matches Clusterfuzz fuzzbot,2026-05-23T16:21:37.446336Z,0,firedancer-io/fuzzbot-builder,https://github.com/firedancer-io/fuzzbot-builder,context/watchlist only; not included in approved-gate Top repo score,True,False,False,firedancer-io,Shell,2024-01-05T15:29:57Z,678856554,0,1,firedancer-client,UTC
,,2026-05-23.solana-activity.v2,GitHub Pages deployment powering go.firedancer.io,2026-05-23T16:21:37.446336Z,1,firedancer-io/go-site,https://github.com/firedancer-io/go-site,context/watchlist only; not included in approved-gate Top repo score,False,False,False,firedancer-io,HTML,2022-09-21T20:03:10Z,538488575,0,1,firedancer-client,UTC
,,2026-05-23.solana-activity.v2,"Security oriented software fuzzer. Supports evolutionary, feedback-driven fuzzing based on code coverage (SW and HW based)",2026-05-23T16:21:37.446336Z,0,firedancer-io/honggfuzz,https://github.com/firedancer-io/honggfuzz,context/watchlist only; not included in approved-gate Top repo score,False,True,False,firedancer-io,C,2026-05-16T03:36:37Z,1118527368,0,1,firedancer-client,UTC
,,2026-05-23.solana-activity.v2,Fuzz your Rust code with Google-developed Honggfuzz !,2026-05-23T16:21:37.446336Z,1,firedancer-io/honggfuzz-rs,https://github.com/firedancer-io/honggfuzz-rs,context/watchlist only; not included in approved-gate Top repo score,False,True,False,firedancer-io,Rust,2026-03-30T19:07:36Z,1178235411,0,1,firedancer-client,UTC
,,2026-05-23.solana-activity.v2,Industry targets for the labs validator,2026-05-23T16:21:37.446336Z,0,firedancer-io/industry-labs,https://github.com/firedancer-io/industry-labs,context/watchlist only; not included in approved-gate Top repo score,True,False,False,firedancer-io,,2024-01-04T22:23:21Z,738714381,0,2,firedancer-client;validator/rpc,UTC
,,2026-05-23.solana-activity.v2,C++ library for Finite Fields and Elliptic Curves,2026-05-23T16:21:37.446336Z,0,firedancer-io/libff,https://github.com/firedancer-io/libff,context/watchlist only; not included in approved-gate Top repo score,False,True,False,firedancer-io,C++,2023-10-17T16:19:17Z,706273847,0,1,firedancer-client,UTC
,,2026-05-23.solana-activity.v2,Library for structured fuzzing with protobuffers,2026-05-23T16:21:37.446336Z,0,firedancer-io/libprotobuf-mutator,https://github.com/firedancer-io/libprotobuf-mutator,context/watchlist only; not included in approved-gate Top repo score,False,True,False,firedancer-io,,2024-03-04T22:35:29Z,767205839,0,1,firedancer-client,UTC
,,2026-05-23.solana-activity.v2,Linux kernel source tree,2026-05-23T16:21:37.446336Z,0,firedancer-io/linux,https://github.com/firedancer-io/linux,context/watchlist only; not included in approved-gate Top repo score,False,True,False,firedancer-io,,2026-05-18T04:52:27Z,1241589423,0,1,firedancer-client,UTC
,,2026-05-23.solana-activity.v2,,2026-05-23T16:21:37.446336Z,0,firedancer-io/llvm-project,https://github.com/firedancer-io/llvm-project,context/watchlist only; not included in approved-gate Top repo score,False,True,False,firedancer-io,,2024-07-04T14:02:54Z,824167965,0,1,firedancer-client,UTC
,,2026-05-23.solana-activity.v2,,2026-05-23T16:21:37.446336Z,0,firedancer-io/mirasol,https://github.com/firedancer-io/mirasol,context/watchlist only; not included in approved-gate Top repo score,True,False,False,firedancer-io,Go,2023-06-10T18:15:11Z,651989248,0,1,firedancer-client,UTC
,,2026-05-23.solana-activity.v2,A repository for Protobuf definitions,2026-05-23T16:21:37.446336Z,5,firedancer-io/protosol,https://github.com/firedancer-io/protosol,context/watchlist only; not included in approved-gate Top repo score,False,False,False,firedancer-io,Rust,2026-05-22T07:01:20Z,816865318,4,1,firedancer-client,UTC
,,2026-05-23.solana-activity.v2,Python package for fast Base58,2026-05-23T16:21:37.446336Z,0,firedancer-io/python-fd58,https://github.com/firedancer-io/python-fd58,context/watchlist only; not included in approved-gate Top repo score,False,False,False,firedancer-io,C,2025-10-14T19:52:03Z,781952420,1,1,firedancer-client,UTC
,,2026-05-23.solana-activity.v2,Go tool for Solana TPU,2026-05-23T16:21:37.446336Z,0,firedancer-io/quictool,https://github.com/firedancer-io/quictool,context/watchlist only; not included in approved-gate Top repo score,False,False,False,firedancer-io,Go,2025-01-13T12:01:30Z,885784918,1,3,core-client/runtime;firedancer-client;validator/rpc,UTC
,,2026-05-23.solana-activity.v2,Async-friendly QUIC implementation in Rust,2026-05-23T16:21:37.446336Z,0,firedancer-io/quinn,https://github.com/firedancer-io/quinn,context/watchlist only; not included in approved-gate Top repo score,True,True,False,firedancer-io,Rust,2024-04-04T14:31:27Z,648836327,0,1,firedancer-client,UTC
,,2026-05-23.solana-activity.v2,Solana protocol playground supporting Firedancer development,2026-05-23T16:21:37.446336Z,50,firedancer-io/radiance,https://github.com/firedancer-io/radiance,context/watchlist only; not included in approved-gate Top repo score,False,False,False,firedancer-io,Go,2024-05-10T09:12:12Z,439029315,119,2,core-client/runtime;firedancer-client,UTC
,,2026-05-23.solana-activity.v2,,2026-05-23T16:21:37.446336Z,0,firedancer-io/rbpf,https://github.com/firedancer-io/rbpf,context/watchlist only; not included in approved-gate Top repo score,False,True,False,firedancer-io,Rust,2025-01-13T23:11:55Z,793828908,1,1,firedancer-client,UTC
,,2026-05-23.solana-activity.v2,SBPF virtual machine,2026-05-23T16:21:37.446336Z,0,firedancer-io/sbpf,https://github.com/firedancer-io/sbpf,context/watchlist only; not included in approved-gate Top repo score,False,True,False,firedancer-io,,2026-05-20T17:35:25Z,1016163185,0,2,core-client/runtime;firedancer-client,UTC
,,2026-05-23.solana-activity.v2,Firedancer's patches to Solana,2026-05-23T16:21:37.446336Z,2,firedancer-io/solana,https://github.com/firedancer-io/solana,context/watchlist only; not included in approved-gate Top repo score,False,True,False,firedancer-io,,2024-09-13T20:32:46Z,586863247,2,2,core-client/runtime;firedancer-client,UTC
,,2026-05-23.solana-activity.v2,Conformance test suite for the Solana protocol,2026-05-23T16:21:37.446336Z,4,firedancer-io/solana-conformance,https://github.com/firedancer-io/solana-conformance,context/watchlist only; not included in approved-gate Top repo score,True,False,False,firedancer-io,Python,2026-04-13T20:13:38Z,771103197,15,2,core-client/runtime;firedancer-client,UTC
,,2026-05-23.solana-activity.v2,Solana runtime pattern files for the ImHex hex editor,2026-05-23T16:21:37.446336Z,3,firedancer-io/solana-hexpat,https://github.com/firedancer-io/solana-hexpat,context/watchlist only; not included in approved-gate Top repo score,False,False,False,firedancer-io,Makefile,2024-04-19T06:14:26Z,647980469,7,2,core-client/runtime;firedancer-client,UTC
,,2026-05-23.solana-activity.v2,Solana Improvement Documents,2026-05-23T16:21:37.446336Z,1,firedancer-io/solana-improvement-documents,https://github.com/firedancer-io/solana-improvement-documents,context/watchlist only; not included in approved-gate Top repo score,False,True,False,firedancer-io,,2023-11-30T16:50:00Z,561020705,2,2,core-client/runtime;firedancer-client,UTC
,,2026-05-23.solana-activity.v2,,2026-05-23T16:21:37.446336Z,0,firedancer-io/solana-packets,https://github.com/firedancer-io/solana-packets,context/watchlist only; not included in approved-gate Top repo score,False,True,False,firedancer-io,,2025-04-18T03:22:50Z,968080257,0,3,core-client/runtime;firedancer-client;validator/rpc,UTC
,,2026-05-23.solana-activity.v2,"Rust SDK for the Solana blockchain, used by on-chain program developers and the Agave validator",2026-05-23T16:21:37.446336Z,0,firedancer-io/solana-sdk,https://github.com/firedancer-io/solana-sdk,context/watchlist only; not included in approved-gate Top repo score,False,True,False,firedancer-io,Rust,2026-03-18T17:27:17Z,1016168659,0,3,core-client/runtime;firedancer-client;validator/rpc,UTC
,,2026-05-23.solana-activity.v2,Wireshark dissector for the Solana peer-to-peer network,2026-05-23T16:21:37.446336Z,4,firedancer-io/solana_dissector,https://github.com/firedancer-io/solana_dissector,context/watchlist only; not included in approved-gate Top repo score,False,False,False,firedancer-io,Lua,2025-04-18T16:59:01Z,525309274,31,2,core-client/runtime;firedancer-client,UTC
,,2026-05-23.solana-activity.v2,This is a repo for all solcap tooling,2026-05-23T16:21:37.446336Z,1,firedancer-io/solcap-tools,https://github.com/firedancer-io/solcap-tools,context/watchlist only; not included in approved-gate Top repo score,False,False,False,firedancer-io,Rust,2026-04-15T02:22:40Z,1082781734,0,1,firedancer-client,UTC
,,2026-05-23.solana-activity.v2,Agave target for solfuzz,2026-05-23T16:21:37.446336Z,16,firedancer-io/solfuzz-agave,https://github.com/firedancer-io/solfuzz-agave,context/watchlist only; not included in approved-gate Top repo score,False,False,False,firedancer-io,Rust,2026-05-22T15:04:20Z,769721627,34,2,core-client/runtime;firedancer-client,UTC
,,2026-05-23.solana-activity.v2,Solana protocol specs,2026-05-23T16:21:37.446336Z,4,firedancer-io/specs,https://github.com/firedancer-io/specs,context/watchlist only; not included in approved-gate Top repo score,False,True,False,firedancer-io,Python,2025-06-12T22:37:02Z,553112123,8,2,core-client/runtime;firedancer-client,UTC
,,2026-05-23.solana-activity.v2,Temporary place for Firedancer's Solana protocol specs,2026-05-23T16:21:37.446336Z,0,firedancer-io/specs-old,https://github.com/firedancer-io/specs-old,context/watchlist only; not included in approved-gate Top repo score,True,False,False,firedancer-io,,2022-09-01T03:01:54Z,530703402,7,2,core-client/runtime;firedancer-client,UTC
,,2026-05-23.solana-activity.v2,,2026-05-23T16:21:37.446336Z,7,firedancer-io/test-vectors,https://github.com/firedancer-io/test-vectors,context/watchlist only; not included in approved-gate Top repo score,False,False,False,firedancer-io,,2026-05-20T21:25:49Z,791879710,3,1,firedancer-client,UTC
,,2026-05-23.solana-activity.v2,sBPF assembly example,2026-05-23T16:21:37.446336Z,1,firedancer-io/token.sbpf,https://github.com/firedancer-io/token.sbpf,context/watchlist only; not included in approved-gate Top repo score,False,False,False,firedancer-io,Assembly,2024-05-07T10:00:11Z,797150134,19,3,core-client/runtime;firedancer-client;payments/token,UTC
,,2026-05-23.solana-activity.v2,,2026-05-23T16:21:37.446336Z,0,firedancer-io/vmv2-examples,https://github.com/firedancer-io/vmv2-examples,context/watchlist only; not included in approved-gate Top repo score,False,False,False,firedancer-io,C,2024-09-13T05:02:28Z,855946589,1,1,firedancer-client,UTC
,,2026-05-23.solana-activity.v2,RSA implementation in pure Rust,2026-05-23T16:21:37.446336Z,0,jito-labs/RSA,https://github.com/jito-labs/RSA,context/watchlist only; not included in approved-gate Top repo score,False,True,False,jito-labs,,2024-05-04T20:59:12Z,795972263,0,1,mev/jito,UTC
,,2026-05-23.solana-activity.v2,,2026-05-23T16:21:37.446336Z,3,jito-labs/autoclock-validator,https://github.com/jito-labs/autoclock-validator,context/watchlist only; not included in approved-gate Top repo score,False,True,False,jito-labs,Python,2025-03-06T14:02:09Z,617040219,1,2,mev/jito;validator/rpc,UTC
,,2026-05-23.solana-activity.v2,,2026-05-23T16:21:37.446336Z,2,jito-labs/axum-jrpc,https://github.com/jito-labs/axum-jrpc,context/watchlist only; not included in approved-gate Top repo score,False,True,False,jito-labs,Rust,2024-07-02T20:21:47Z,741818144,0,2,mev/jito;validator/rpc,UTC
,,2026-05-23.solana-activity.v2,,2026-05-23T16:21:37.446336Z,0,jito-labs/bam-protos,https://github.com/jito-labs/bam-protos,context/watchlist only; not included in approved-gate Top repo score,False,False,False,jito-labs,,2026-04-14T19:06:17Z,924974015,1,1,mev/jito,UTC
,,2026-05-23.solana-activity.v2,Kinda functional block engine for testing bundles on jito-solana locally,2026-05-23T16:21:37.446336Z,11,jito-labs/block_engine_simple,https://github.com/jito-labs/block_engine_simple,context/watchlist only; not included in approved-gate Top repo score,False,False,False,jito-labs,Rust,2022-11-16T00:06:06Z,566515704,29,2,core-client/runtime;mev/jito,UTC
,,2026-05-23.solana-activity.v2,Rust bindings for Firedancer's ed25519 functions,2026-05-23T16:21:37.446336Z,3,jito-labs/fd_ed25519,https://github.com/jito-labs/fd_ed25519,context/watchlist only; not included in approved-gate Top repo score,False,False,False,jito-labs,Rust,2026-04-02T18:04:21Z,982818743,7,2,firedancer-client;mev/jito,UTC
,,2026-05-23.solana-activity.v2,,2026-05-23T16:21:37.446336Z,1,jito-labs/five8,https://github.com/jito-labs/five8,context/watchlist only; not included in approved-gate Top repo score,False,True,False,jito-labs,,2024-10-13T11:17:15Z,888058762,0,1,mev/jito,UTC
,,2026-05-23.solana-activity.v2,A rate-limiting library for Rust (f.k.a. ratelimit_meter),2026-05-23T16:21:37.446336Z,0,jito-labs/governor,https://github.com/jito-labs/governor,context/watchlist only; not included in approved-gate Top repo score,False,True,False,jito-labs,,2025-05-12T00:17:48Z,974310128,0,1,mev/jito,UTC
,,2026-05-23.solana-activity.v2,Jito Labs Documentation,2026-05-23T16:21:37.446336Z,8,jito-labs/jito-docs,https://github.com/jito-labs/jito-docs,context/watchlist only; not included in approved-gate Top repo score,False,False,False,jito-labs,,2026-04-07T21:44:41Z,845209933,21,1,mev/jito,UTC
